SITE	MHAB	Punto	LABEL	OX	OY	SITE	SITE*	MICRO	MICROCAMPO	PUNTO	PMAH_sd	PMAH_pl	TBAC_sd	TBAC_pl	BVUL_sd	BVUL_pl	BVUL_pl2	CMON_sd	CMON_pl	CMON_pl2	PNIG_sd	PNIG_pl	PNIG_pl2	RSAX_sd	RSAX_pl	RSAX_pl2	HHEL_sd	HHEL_pl	HHEL_pl2	ROSA_sd	ROSA_pl	ROSA_pl2	LARB_sd	LARB_pl	LARB_pl2	JPHO_sd	JPHO_pl	JPHO_pl2	JCOM_sd	JCOM_pl	JCOM_pl2	AGRA_sd	AGRA_pl	AGRA_pl2	AITA_sd	AITA_pl	AITA_pl2
DRCHA	S	6	DRCHAS6	-89.77	-179.53	OUT	DRCHA	S	S	6	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	S	7	DRCHAS7	-80.93	-169.65	OUT	DRCHA	S	S	7	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	S	8	DRCHAS8	-75.9	-149.55	OUT	DRCHA	S	S	8	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	S	9	DRCHAS9	-81.35	-140.11	OUT	DRCHA	S	S	9	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	S	10	DRCHAS10	-87.38	-125.23	OUT	DRCHA	S	S	10	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESQ	A	11	ESQA11	192.98	721.84	OUT	ESQ	A	A	11	0	1	0	0	0	0	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESQ	A	12	ESQA12	120.46	592.48	OUT	ESQ	A	A	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESQ	A	13	ESQA13	104.04	645.26	OUT	ESQ	A	A	13	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESQ	A	14	ESQA14	109.57	662.81	OUT	ESQ	A	A	14	3	1	0	0	0	2	1	0	9	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESQ	A	15	ESQA15	188.35	697.43	OUT	ESQ	A	A	15	20	5	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESQ	A	16	ESQA16	200.1	730.64	OUT	ESQ	A	A	16	25	1	0	0	1	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ESQ	A	17	ESQA17	206.6	731.79	OUT	ESQ	A	A	17	0	1	0	0	1	0	0	0	0	0	22	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESQ	A	18	ESQA18	189.76	700.85	OUT	ESQ	A	A	18	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ESQ	A	19	ESQA19	194.48	705.9	OUT	ESQ	A	A	19	31	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0
ESQ	A	20	ESQA20	202.49	724.07	OUT	ESQ	A	A	20	0	3	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESQ	B	10	ESQB10	125.04	696.43	OUT	ESQ	B	B	10	0	1	0	0	0	0	0	0	0	0	1	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESQ	B	11	ESQB11	54.23	461.92	OUT	ESQ	B	B	11	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESQ	B	12	ESQB12	76.74	499	OUT	ESQ	B	B	12	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESQ	B	13	ESQB13	96.89	536.01	OUT	ESQ	B	B	13	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESQ	B	14	ESQB14	111.85	568.09	OUT	ESQ	B	B	14	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESQ	B	15	ESQB15	24.72	451.18	OUT	ESQ	B	B	15	0	0	0	0	1	0	0	0	0	0	4	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESQ	B	16	ESQB16	113.73	663.93	OUT	ESQ	B	B	16	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESQ	B	17	ESQB17	180.2	711.09	OUT	ESQ	B	B	17	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESQ	B	18	ESQB18	202.61	716.66	OUT	ESQ	B	B	18	0	0	0	0	1	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESQ	B	19	ESQB19	70.37	483.19	OUT	ESQ	B	B	19	4	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESQ	B	20	ESQB20	68.41	484.77	OUT	ESQ	B	B	20	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESQ	N	11	ESQN11	199.05	721.98	OUT	ESQ	N	N	11	1	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ESQ	N	12	ESQN12	190.69	715.93	OUT	ESQ	N	N	12	1	1	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
ESQ	N	13	ESQN13	183.78	724.23	OUT	ESQ	N	N	13	2	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0
ESQ	N	14	ESQN14	109.15	681.02	OUT	ESQ	N	N	14	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESQ	N	15	ESQN15	105.64	627.2	OUT	ESQ	N	N	15	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESQ	N	16	ESQN16	72.86	520.68	OUT	ESQ	N	N	16	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	1	0	0	0	0
ESQ	N	17	ESQN17	67.22	497.63	OUT	ESQ	N	N	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESQ	N	18	ESQN18	22.95	464.65	OUT	ESQ	N	N	18	0	0	1	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESQ	N	19	ESQN19	27.24	466.68	OUT	ESQ	N	N	19	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESQ	N	20	ESQN20	40.65	479.61	OUT	ESQ	N	N	20	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESQ	P	11	ESQP11	72.56	530.14	OUT	ESQ	P	P	11	0	0	0	0	1	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ESQ	P	12	ESQP12	75.83	480.04	OUT	ESQ	P	P	12	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESQ	P	13	ESQP13	96.89	513.11	OUT	ESQ	P	P	13	2	2	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESQ	P	14	ESQP14	112.37	560.3	OUT	ESQ	P	P	14	3	1	1	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESQ	P	15	ESQP15	105.02	612.91	OUT	ESQ	P	P	15	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0
ESQ	P	16	ESQP16	119.46	606.75	OUT	ESQ	P	P	16	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESQ	P	17	ESQP17	153.06	664.16	OUT	ESQ	P	P	17	0	1	0	0	0	2	0	1	1	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ESQ	P	18	ESQP18	172.49	712.72	OUT	ESQ	P	P	18	1	0	0	0	0	0	0	1	0	0	21	0	0	1	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0
ESQ	P	19	ESQP19	196.42	716.93	OUT	ESQ	P	P	19	3	1	39	0	1	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0
ESQ	P	20	ESQP20	218.78	732.59	OUT	ESQ	P	P	20	0	1	0	0	1	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0
