SITE	MHAB	Punto	LABEL	OX	OY	SITE	SITE*	MICRO	MICROCAMPO	PUNTO	PMAH_sd	PMAH_pl	TBAC_sd	TBAC_pl	BVUL_sd	BVUL_pl	BVUL_pl2	CMON_sd	CMON_pl	CMON_pl2	PNIG_sd	PNIG_pl	PNIG_pl2	RSAX_sd	RSAX_pl	RSAX_pl2	HHEL_sd	HHEL_pl	HHEL_pl2	ROSA_sd	ROSA_pl	ROSA_pl2	LARB_sd	LARB_pl	LARB_pl2	JPHO_sd	JPHO_pl	JPHO_pl2	JCOM_sd	JCOM_pl	JCOM_pl2	AGRA_sd	AGRA_pl	AGRA_pl2	AITA_sd	AITA_pl	AITA_pl2
CAL	P	10	CALP10	-122.81	28.51	CAL	CAL	P	P	10	8	2	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CAL	P	11	CALP11	-118.94	8.05	CAL	CAL	P	P	11	3	3	0	0	1	0	0	0	0	0	15	0	0	5	2	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL	P	12	CALP12	-123.49	-4.44	CAL	CAL	P	P	12	2	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CAL	P	13	CALP13	-122.28	-18.29	CAL	CAL	P	P	13	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL	P	14	CALP14	-128.84	-28.06	CAL	CAL	P	P	14	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL	P	15	CALP15	-121.64	-41.9	CAL	CAL	P	P	15	1	0	0	0	1	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL	P	16	CALP16	-122.13	-129.53	CAL	CAL	P	P	16	2	0	0	0	0	2	2	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL	P	17	CALP17	-133.14	-124.14	CAL	CAL	P	P	17	2	0	0	0	0	0	0	0	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL	P	18	CALP18	-140.12	-121.82	CAL	CAL	P	P	18	1	1	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL	P	19	CALP19	-137.78	-141.24	CAL	CAL	P	P	19	2	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
