POB	ÁRBOL	NEWX	NEWY	UCSP	UCHGT	UCCOVA	UCCOVR	OCSP	OCHGT	OCCOVA	OCCOVR	D1	D2	NTREE	DROCK	DFOREST	Fm001	FmMg3	Fm018	Tet403	TetE02	TetMC5	Hex406	Hex402	Hex05	TetMC4	HexH03
NC	1102	385.99700	450.82300														119	178	246	104	173	231	97	136	198	221	257
NC	1103	342.90600	475.65200														117	178	244	104	183	231	93	132	198	222	271
NC	1104	323.03000	469.32200														119	190	246	104	177	235	93	132	198	226	251
NC	1105	327.57400	467.48600														117	178	246	104	183	231	95	142	198	221	271
NC	1106	333.32200	465.16400														119	178	246	104	173	231	95	132	194	221	271
NC	1107	334.33300	476.72000														119	192	246	104	167	231	95	136	200	221	257
NC	1108	332.80800	494.15300														119	178	244	104	173	231	97	142	198	221	271
NC	1109	331.23000	512.18400														117	178	244	104	173	231	95	132	198	221	271
NC	1110	330.78400	473.57300														117	190	244	124	173	235	93	132	198	221	251
NC	1111	268.47400	465.77400														119	204	244	124	187	231	97	132	198	221	251
NC	1112	272.90000	488.96700														119	190	244	104	173	231	93	132	198	221	261
NC	1113	281.17600	527.60200														117	178	246	104	173	231	95	142	198	221	263
NC	1115	283.55500	541.09400														109	206	244	102	167	231	95	136	194	221	271
NC	1116	271.80900	544.01300														119	200	244	104	175	231	97	132	198	221	251
NC	1117	278.93600	551.66500														119	178	244	104	145	231	93	118	198	221	257
NC	1118	290.36700	558.26500														119	178	246	104	167	231	95	134	198	221	283
NC	1119	278.93600	576.36500														119	194	244	104	173	231	97	134	198	222	283
NC	1120	269.07300	575.50200														117	178	244	104	167	231	95	132	194	221	261
NC	1121	285.96300	609.42600														119	178	244	102	183	231	93	142	194	221	283
NC	1122	198.98500	532.57000														119	190	244	104	167	231	97	142	198	221	271
NC	1123	212.63400	525.03400														119	178	244	104	173	231	93	142	198	221	283
NC	1124	230.39300	534.47600														119	178	244	124	167	231	97	142	198	221	271
NC	1125	228.75500	500.14300														119	178	244	104	173	231	95	142	198	221	283
NC	1126	228.75500	499.68900														119	178	244	104	167	231	95	134	198	228	271
NC	1127	228.84900	498.78700														119	178	244	104	167	231	97	146	198	221	271
NC	1129	232.85700	516.94900														119	178	244	104	167	231	97	134	198	221	283
NC	1132	234.37900	509.87800														119	186	246	104	183	231	95	136	198	221	283
NC	1133	221.28900	504.18500														119	178	244	104	167	231	93	132	198	221	251
NC	1135	137.35100	288.77500														119	178	244	104	167	231	97	136	198	221	257
NC	1137	121.86700	325.74900														117	192	244	112	183	235	93	132	198	228	251
NC	1138	114.73700	326.75100														117	178	246	104	169	231	95	144	200	221	257
NC	1155	194.43100	377.52400														119	194	246	106	183	231	93	132	198	226	259
NC	1156	191.39100	373.18300														119	178	246	104	183	231	97	142	198	221	257
NC	1161	170.23300	366.24100														119	178	244	104	167	231	95	142	194	221	257
NC	1164	217.97800	383.82900														117	178	244	104	145	231	95	136	198	222	283
NC	1165	206.08400	399.11100														109	176	246	104	167	231	93	136	194	221	261
NC	1169	229.23400	475.29500														119	186	246	104	183	231	95	134	198	221	283
NC	1170	222.92900	477.84300														117	178	244	104	183	231	95	142	194	221	271
NC	1173	225.09300	461.08400														117	178	244	104	183	231	93	142	198	221	287
NC	1175	220.84900	471.74700														117	204	246	104	173	231	95	132	198	221	271
NC	1176	217.56000	465.82800														119	186	246	104	183	231	95	134	198	222	295
NC	1177	205.74700	465.89200														119	186	246	104	183	231	95	134	198	221	283
NC	1178	211.29700	475.50500														119	186	246	122	183	231	95	134	198	221	283
NC	1179	195.18800	464.96800														119	178	244	104	167	235	93	142	194	221	283
NC	1181	189.17500	471.70800														119	194	246	104	183	231	95	134	200	221	295
NC	1182	188.60100	472.52700														119	178	246	102	167	231	93	142	198	222	283
NC	1183	188.02800	473.34600														119	186	246	104	183	231	95	136	198	221	283
NC	1184	188.31500	472.93700														119	186	246	122	183	235	95	136	198	221	283
NC	1186	209.45200	538.55500														119	178	244	104	167	231	97	142	198	221	271
NC	1188	219.17200	517.71000														119	178	244	124	167	231	97	142	198	221	271
NC	1189	212.09600	519.74000														117	178	244	104	173	231	95	132	194	221	271
NC	1190	217.17900	515.33600														119	186	246	104	183	231	95	134	200	221	283
NC	1191	178.81100	480.09800														117	194	244	104	183	231	93	132	198	222	261
NC	1192	169.33800	476.97000														119	178	244	102	167	231	93	142	194	221	287
NC	1193	170.02200	442.91500														119	186	246	104	183	231	95	134	200	221	283
NC	1195	140.92900	534.36600														119	178	244	102	167	231	93	142	194	221	283
NC	1196	136.11600	526.25300														119	178	244	102	167	231	93	142	198	222	287
NC	1198	233.47700	591.65100														117	178	244	106	161	231	93	132	194	221	257
NC	1199	225.44300	601.22700														117	178	244	142	183	231	95	132	200	221	257
NC	358	197.22000	326.45400														119	178	244	104	173	231	93	134	194	221	283
NC	361	227.42400	389.70100														117	178	244	102	167	231	93	142	194	221	283
NC	367	221.24400	434.12800														119	186	246	104	183	231	95	134	198	221	283
NC	369	214.34100	436.44800														117	178	244	104	183	231	93	132	198	222	271
NC	370	219.26200	437.05300	4	3.4	75.0	47.5	7	2.8	46.3	70.0	4.5	6.0	4	1.5	10.0	119	178	244	104	167	231	93	142	198	222	271
NC	382	275.85700	520.30600														119	178	244	104	173	231	97	146	198	221	289
NC	383	257.40800	548.65900	3	1.1	90.0	0.0	5	0.3	11.3	0.0	7.5	12.0	2	14.0	15.0	119	178	244	104	169	231	95	142	198	221	271
NC	387	229.22400	538.01300														119	178	244	104	167	231	97	142	198	221	271
NC	388	234.55700	545.88400	3	0.7	80.0	0.0	8	1.0	82.5	20.0	7.0	13.5	2	6.0	6.0	119	178	244	104	167	231	97	142	198	221	271
NC	390	209.23400	564.43900														119	190	244	104	167	231	97	142	198	221	271
NC	391	172.46500	316.24500														117	186	244	122	145	231	95	136	194	222	283
NC	1851	391.30700	520.07300	2	0.5	10.0	3.8	1	0.1	0.5	1.8	14.5	16.0	1	11.0	13.0	119	190	246	104	177	235	93	132	198	221	251
NC	357	134.52500	287.27300	2	1.0	1.3	2.5	2	1.4	20.0	18.8	2.5	5.5	4	5.0	40.0	121	192	246	142	183	235	95	146	200	228	251
NC	359	213.96700	371.85500	1	0.8	77.5	0.0	5	1.6	35.0	2.5	5.5	8.0	3	5.5	80.0	121	194	246	124	183	235	95	148	200	228	297
NC	360	201.38600	379.38800														119	194	246	142	173	235	97	142	200	226	295
NC	362	219.17600	398.65400	2	1.3	31.3	45.0	5	1.8	18.9	65.0	3.5	6.5	5	0.5	90.0	119	194	246	104	183	235	93	146	198	222	295
NC	364	225.96900	433.59900	3	0.5	17.5	32.5	6	2.5	50.0	80.0	4.5	5.0	5	0.1	12.5	119	194	246	142	161	231	97	142	198	226	295
NC	365	229.87400	429.39600														119	194	244	104	183	231	97	148	198	226	295
NC	372	215.08300	443.51000	2	0.4	10.0	8.8	6	2.8	52.5	82.5	4.5	6.0	3	1.0	3.0	119	194	246	142	183	231	97	146	198	222	295
NC	373	197.57800	438.77900														119	206	244	104	187	235	97	146	198	222	283
NC	375	254.93700	479.69000														117	204	246	104	183	231	93	142	198	221	283
NC	377	260.47500	486.12200	3	1.9	95.0	0.0	4	2.3	47.5	0.0	0.7	1.0	5	6.0	18.0	119	178	246	142	183	235	97	146	194	222	295
NC	378	264.43000	487.11800	3	2.1	97.5	0.0	5	2.4	52.5	1.3	0.7	1.0	5	6.0	18.0	119	178	246	104	169	231	95	142	198	222	287
NC	379	256.98300	486.38400														121	194	246	122	183	235	97	146	200	222	295
NC	380	241.21100	478.50500	1	0.2	1.3	95.0	4	0.6	7.5	95.0	6.0	7.5	5	0.5	6.0	119	204	246	104	183	231	93	142	198	226	271
NC	385	236.41800	529.93400	1	0.3	0.8	2.5	7	8.6	35.0	37.5	11.0	18.0	1	1.0	1.0	119	178	246	104	183	231	95	142	198	226	283
NC	396	231.71800	437.38600														121	186	246	104	183	235	95	146	200	222	295
NC	397	204.19200	540.16300	5	0.7	35.0	0.0	5	0.8	12.5	3.8	3.5	4.5	2	4.0	9.0	119	178	246	102	183	235	93	142	198	222	287
NC	398	161.98600	540.00800	2	0.8	60.0	0.0	6	0.7	47.5	2.5	3.0	18.0	1	10.0	3.0	119	178	246	104	183	235	93	142	194	222	287
NC	399	191.90000	531.95900	2	0.3	3.8	8.8	4	2.3	50.0	76.3	3.5	7.0	4	3.0	15.0	119	178	246	104	183	235	93	142	198	222	283
NC	400	187.88900	531.08300	2	0.3	2.5	8.8	4	2.3	61.3	67.5	1.5	3.5	5	2.0	15.0	119	178	246	102	183	231	93	142	198	222	287
NC	1820	206.37600	208.82300	1	0.1	1.8	5.5	3	0.4	3.0	5.5	18.5	21.5	0	65.0	35.0	119	204	246	116	183	235	107	132	200	226	287
NC	1821	187.87800	213.74800	0	0.1	0.0	3.5	2	0.2	8.0	10.0	13.7	17.7	2	65.0	19.0	119	178	244	104	173	231	93	146	200	221	263
NC	1822	307.63500	263.98600	2	0.3	1.0	0.5	4	0.5	5.5	12.5	15.5	17.7	0	72.0	7.8	119	194	246	142	183	231	95	146	198	222	295
NC	1823	142.74600	142.69500	2	0.3	15.0	1.8	7	0.56	5.5	3.0	5.5	13.0	3.0	16	20.0	119	178	246	104	173	231	93	136	200	221	263
NC	1824	131.66800	146.52400	1	1.7	85.0	13.8	2	0.7	26.3	43.8	1.5	13.0	2	2.0	3.5	119	178	244	142	183	231	93	136	198	221	261
NC	1825	244.83900	176.80600	1	0.5	13.8	85.0	4	0.7	6.3	91.3	57.0	65.0	0	0.0	2.5	119	206	244	124	183	235	95	132	198	221	257
NC	1826	269.97100	252.80400	5	0.4	35.0	18.0	8	3.3	45.0	41.0	9.3	22.8	1	0.0	4.0	119	194	246	104	187	235	97	146	198	228	257
NC	1827	281.69300	271.87100	3	1.1	92.5	0.3	5	0.6	49.0	2.3	9.2	31.0	1	18.0	15.0	119	194	246	104	183	231	97	142	198	222	283
NC	1828	295.26900	295.00700	2	0.3	28.8	50.0	6.0	0.7	23.0	54.0	7.3	9.2	3.0	0.5	12.0	119	194	246	104	183	231	97	142	198	222	283
NC	1829	286.74700	296.97100	3	0.8	25.0	0.0	5	0.3	25.0	15.0	7.3	14.3	3	7.5	19.0	119	178	246	104	167	231	97	142	198	221	283
NC	1830	304.22200	378.53700	3	0.6	100.0	0.0	6	2.0	50.0	0.0	2.5	2.5	7	28.0	28.0	121	178	246	104	187	235	95	146	200	222	257
NC	1831	309.27500	376.51500	4	1.5	100.0	0.0	6	2.0	51.3	0.0	4.7	5.3	7	25.0	25.0	119	194	246	122	183	231	97	146	200	222	295
NC	1832	305.04200	382.06800	6	1.4	54.0	0.0	6	1.4	33.0	0.0	3.5	5.7	7	25.5	25.5	119	178	244	142	187	235	97	142	198	222	283
NC	1833	311.48300	380.99700	5	2.3	100.0	0.0	6	2.1	30.0	0.0	3.5	5.8	8	20.0	20.0	121	194	246	122	183	235	95	142	200	222	295
NC	1834	330.24200	387.84900	2	0.6	34.0	50.0	5	1.6	38.0	74.0	5.3	16.7	1	0.2	0.2	119	178	246	104	173	231	97	142	198	222	289
NC	1835	346.26300	427.14400	1	0.9	43.0	0.0	4	2.4	33.0	13.0	5.1	17.0	1	6.0	10.0	127	206	246	104	173	231	95	136	198	222	295
NC	1836	347.66300	432.95600	2	1.0	70.0	0.0	7	1.8	38.0	14.0	5.1	12.0	1	6.0	10.0	119	178	246	104	173	231	97	136	200	222	261
NC	1837	330.58400	461.25800	5	0.7	55.0	0.0	6	1.2	45.0	0.0	2.5	2.7	9	26.0	30.0	119	178	246	124	183	231	97	146	198	221	289
NC	1838	349.45000	471.92300	3	1.4	25.0	7.0	6	0.6	18.0	7.5	8.6	8.9	6	10.0	15.0	127	206	244	110	173	231	95	146	200	221	283
NC	1839	333.60500	464.98800	5	0.9	56.3	0.0	6	1.4	45.0	0.0	2.5	2.7	9	24.0	28.0	119	206	246	118	183	231	101	144	198	222	275
NC	1841	163.31900	292.20300	3	0.3	15.0	62.5	6	0.5	41.3	77.5	26.5	32.0	0	0.0	60.0	119	178	246	104	167	231	97	144	200	222	283
NC	1842	170.25000	314.51000	2	1.0	72.5	100.0	7	0.5	11.3	95.0	12.7	22.5	1	0.0	0.0	119	176	246	104	173	231	93	146	200	221	263
NC	1843	185.47600	324.17200	2	0.2	12.5	61.3	7	0.6	19.3	85.0	12.7	25.0	1	0.0	0.0	119	178	246	116	183	235	97	142	198	221	261
NC	1844	225.28100	401.39600	2	0.6	26.3	75.0	5	1.3	26.3	80.0	3.0	4.9	6	2.5	0.0	119	194	246	104	183	231	95	142	200	222	283
NC	1845	226.24900	405.27700	2	1.2	75.0	85.0	5	1.2	35.0	77.5	3.0	7.9	5	0.5	0.0	121	194	246	122	183	235	95	136	198	222	283
