MICROHAB	POINT	NAME	TREE	NEWX	NEWY
B	74	INB74		256.6200	435.9000
B	75	INB75		196.3700	331.1400
B	76	INB76		192.0000	327.4200
B	77	INB77		190.5700	325.4200
B	78	INB78		168.5200	311.4600
B	79	INB79		134.8200	303.9000
B	80	INB80		134.5600	297.4800
N	1	INN1		197.8300	464.3900
N	2	INN2		192.2900	461.3900
N	3	INN3		168.2300	451.6200
N	4	INN4		157.7500	450.6700
N	5	INN5		150.2800	472.1800
N	6	INN6		131.7100	481.1700
N	7	INN7		128.7200	478.0300
N	8	INN8		121.4200	465.6900
N	9	INN9		115.3400	468.5200
N	10	INN10		93.7200	508.7800
N	11	INN11		92.8500	498.9200
N	12	INN12		106.4200	486.7900
N	13	INN13		78.7500	472.1200
N	14	INN14		65.4000	451.3500
N	15	INN15		61.5200	444.6500
N	16	INN16		59.8800	432.7900
N	17	INN17		95.2800	411.8100
N	18	INN18		102.8000	414.5500
N	19	INN19		111.9200	405.4300
N	20	INN20		116.2400	413.3700
N	21	INN21		145.6300	408.2500
N	22	INN22		146.1900	423.6300
N	23	INN23		173.3800	432.5700
N	24	INN24		179.6600	427.3000
N	25	INN25		174.6700	436.2700
N	26	INN26		256.1800	490.2500
N	27	INN27		251.4200	426.3100
N	28	INN28		237.6200	391.3800
N	29	INN29		206.4400	333.8300
N	30	INN30		154.7200	288.4600
N	31	INN31		157.2200	295.3200
N	32	INN32		142.0600	291.2600
N	33	INN33		144.6200	298.3000
N	34	INN34		147.5000	283.4700
N	35	INN35		130.8900	294.7200
N	36	INN36		134.1200	299.1200
N	37	INN37		137.8100	331.8200
N	38	INN38		118.2200	328.7800
N	39	INN39		106.8900	324.2000
N	40	INN40		125.9100	342.2500
N	41	INN41		211.9900	527.9200
N	42	INN42		230.2000	498.3500
N	43	INN43		243.2500	495.4800
N	44	INN44		252.9500	487.9000
N	45	INN45		252.6000	490.3900
N	46	INN46		200.8900	462.8500
N	47	INN47		191.4700	461.0600
N	48	INN48		168.5000	448.8300
N	49	INN49		158.0400	447.9100
N	50	INN50		147.2400	406.3300
N	51	INN51		147.8200	410.1500
N	52	INN52		147.8800	411.8800
N	53	INN53		122.8000	403.0000
N	54	INN54		114.9200	410.1400
N	55	INN55		98.5400	411.5700
N	56	INN56		56.9700	435.2400
N	57	INN57		29.2400	417.9900
N	58	INN58		77.4900	443.9600
