orden	loc	area	mhab1	mhab2	point	name	ox	oy	x	y	species	code	year	n	densm2
56098	OUT	ESQ	S	S	18	ESQS18	167	692,25	367,00	992,25	00DA	seedling	1997	0	0,00
56099	OUT	ESQ	S	S	19	ESQS19	167	708,75	367,00	1008,75	00DA	seedling	1997	0	0,00
56100	OUT	ESQ	S	S	20	ESQS20	203,81	731,47	403,81	1031,47	00DA	seedling	1997	0	0,00
56101	OUT	ESQ	A	X	1	ESQX1	253,58	787,98	453,58	1087,98	Jpho	seedling	1997	0	0,00
56102	OUT	ESQ	A	X	2	ESQX2	247,83	786,92	447,83	1086,92	Jpho	seedling	1997	0	0,00
56103	OUT	ESQ	A	X	3	ESQX3	249,31	795,29	449,31	1095,29	Jpho	seedling	1997	0	0,00
56104	OUT	ESQ	A	X	4	ESQX4	259,61	813,13	459,61	1113,13	Jpho	seedling	1997	0	0,00
56105	OUT	ESQ	A	X	5	ESQX5	265,47	819	465,47	1119,00	Jpho	seedling	1997	0	0,00
56106	OUT	ESQ	A	X	6	ESQX6	264,93	824,55	464,93	1124,55	Jpho	seedling	1997	0	0,00
56107	OUT	ESQ	A	X	7	ESQX7	173,22	725,15	373,22	1025,15	Jpho	seedling	1997	0	0,00
56108	OUT	ESQ	A	X	8	ESQX8	167,54	725,65	367,54	1025,65	Jpho	seedling	1997	0	0,00
56109	OUT	ESQ	A	X	9	ESQX9	135,27	721,55	335,27	1021,55	Jpho	seedling	1997	0	0,00
56110	OUT	ESQ	A	X	10	ESQX10	208,53	742,84	408,53	1042,84	Jpho	seedling	1997	0	0,00
56111	OUT	ESQ	A	X	11	ESQX11	211,07	752,31	411,07	1052,31	Jpho	seedling	1997	0	0,00
56112	OUT	ESQ	A	X	12	ESQX12	253,52	814,76	453,52	1114,76	Jpho	seedling	1997	0	0,00
56113	IN	NEW	A	A	55	I0055	18,33	294,78	218,33	594,78	Rspp	seedling	1997	0	0,00
56114	IN	NEW	A	A	56	I0056	25,76	303,8	225,76	603,80	Pmah	seedling	1997	0	0,00
56115	IN	NEW	A	A	57	I0057	27,42	315,77	227,42	615,77	Rspp	seedling	1997	0	0,00
56116	IN	NEW	A	A	58	I0058	22,63	340,83	222,63	640,83	Rspp	seedling	1997	0	0,00
56117	IN	NEW	A	A	59	I0059	33,43	345,51	233,43	645,51	Rspp	seedling	1997	0	0,00
56118	IN	NEW	A	A	60	I0060	134,91	283,35	334,91	583,35	Pmah	seedling	1997	1	6,02
56119	IN	NEW	A	A	61	I0061	122,27	271,91	322,27	571,91	Pmah	seedling	1997	1	6,02
