Prunus mahaleb, 11 loci microsatellites, 10 poplations
Fam001 FamMg3 Fam018 Tet403 TetE02 TetMC4 TetMC5 Hex406 Hex402 HexA05 HexH03                                                           
Pop
NC_1183   ,    119121    186186    246246    104122    183183    221222    231231    095095    136136    198200    283295
NC_1184   ,    119121    186194    246246    122122    183183    221222    235235    095095    136136    198200    283295
NC_1186   ,    119119    178190    244244    104104    167173    221221    231231    097097    142146    198198    271289
NC_1188   ,    119119    178190    244244    124124    167173    221221    231231    097097    142146    198198    271289
NC_1189   ,    117119    178204    244246    104104    173183    221221    231231    095095    132142    194198    271283
NC_1190   ,    119121    186194    246246    104104    183183    221222    231235    095095    134136    200200    283295
NC_1191   ,    117119    194204    244246    104112    183183    222228    231235    093097    132136    198198    261271
NC_1192   ,    119119    178178    244244    102102    167167    221221    231235    093093    142142    194194    287287
NC_1193   ,    119121    186194    246246    104122    183183    221221    231231    095095    134136    200200    283283
NC_1195   ,    119119    178178    244246    102102    167167    221221    231235    093093    142142    194194    283287
NC_1196   ,    119119    178178    244246    102104    167167    222222    231235    093093    142142    198198    287287
NC_1198   ,    117119    178206    244244    106110    161173    221228    231231    093095    132144    194198    257281
NC_1199   ,    117119    178178    244244    142142    183183    221221    231231    095097    132146    200200    257261
NC_358    ,    119119    178194    244246    104104    173173    221222    231231    093097    134146    194200    283283
NC_361    ,    117119    178194    244246    102142    167183    221222    231235    093093    142142    194194    283283
NC_367    ,    119121    186194    246246    104122    183183    221222    231235    095095    134136    198198    283295
NC_369    ,    117117    178204    244246    104106    183183    222228    231231    093095    132142    198198    271295
NC_370    ,    119127    178194    244246    104104    167183    222222    231231    093097    142146    198198    271283
NC_382    ,    119119    178190    244244    104124    173173    221221    231231    097097    146146    198198    289289
NC_383    ,    119119    178190    244246    104124    169173    221222    231231    095097    142142    198198    271283
NC_387    ,    119119    178190    244244    104124    167173    221221    231231    097097    142146    198198    271289
NC_388    ,    119119    178190    244244    104124    167173    221221    231231    097097    142142    198198    271289
NC_390    ,    119119    190190    244244    104104    167167    221221    231231    097097    142142    198198    271271
NC_391    ,    117119    186194    244246    122142    145183    222222    231235    095097    136142    194200    283295
NC_1851   ,    119119    190190    246246    104124    177177    221221    235235    093097    132132    198200    251261
NC_966    ,    117119    178204    244246    106112    183183    221228    231235    095095    132132    198198    257271
NC_967    ,    119119    178178    244246    104104    167183    228228    231231    095097    132136    198198    259259
