MICROHAB	POINT	NAME	TREE	NEWX	NEWY	SPECIES MHAB
P	19	ESQP19		396.4	1016.9	
P	20	ESQP20		418.8	1032.6	
R	11	ESQR11		254.2	789.2	
R	12	ESQR12		251.0	786.8	
R	13	ESQR13		263.4	796.0	
R	14	ESQR14		287.7	802.8	
R	15	ESQR15		283.0	880.3	
R	16	ESQR16		292.7	930.4	
R	17	ESQR17		289.2	951.1	
R	18	ESQR18		314.5	993.0	
R	19	ESQR19		340.3	1007.7	
R	20	ESQR20		387.6	1030.9	
S	11	ESQS11		263.8	769.2	
S	12	ESQS12		283.7	789.5	
S	13	ESQS13		273.9	813.1	
S	14	ESQS14		287.2	847.6	
S	15	ESQS15		303.2	872.0	
S	16	ESQS16		342.4	971.6	
S	17	ESQS17		344.5	994.8	
S	18	ESQS18		367.0	992.3	
S	19	ESQS19		367.0	1008.8	
S	20	ESQS20		403.8	1031.5	
A	1	ESQA1		453.6	1088.0	Juniperus phoenicea
A	2	ESQA2		447.8	1086.9	Juniperus phoenicea
A	3	ESQA3		449.3	1095.3	Juniperus phoenicea
A	4	ESQA4		459.6	1113.1	Juniperus phoenicea
A	5	ESQA5		465.5	1119.0	Juniperus phoenicea
A	6	ESQA6		464.9	1124.6	Juniperus phoenicea
A	7	ESQA7		373.2	1025.2	Juniperus phoenicea
A	8	ESQA8		367.5	1025.7	Juniperus phoenicea
A	9	ESQA9		335.3	1021.6	Juniperus phoenicea
A	10	ESQA10		408.5	1042.8	Juniperus phoenicea
A	11	ESQA11		411.1	1052.3	Juniperus phoenicea
A	12	ESQA12		453.5	1114.8	Juniperus phoenicea
A	1	INA1		212.7	478.1	Prunus_385
A	2	INA2		191.9	473.3	Prunus_? Arriba colladito
A	3	INA3		180.7	466.8	Crategus monogyna
A	4	INA4		178.5	468.5	Rosa sp.
A	5	INA5		187.5	482.0	Prunus_397
A	6	INA6		175.0	459.2	Prunus_400
A	7	INA7		175.7	465.0	Rosa sp.
A	8	INA8		175.4	461.5	Lonicera arborea
A	9	INA9		159.0	472.1	Lonicera arborea
A	10	INA10		148.8	476.1	Prunus_398
A	11	INA11		130.2	470.3	
A	12	INA12		135.0	420.9	
A	13	INA13		105.5	428.5	
A	14	INA14		99.7	428.0	
A	15	INA15		69.5	415.2	
