SITE	MHAB	POINT	LABEL	OX	OY	x	y	AREA	SITE2	MICRO	MICROCAMPO	sdl97	sd9798	sdl98	sd9899	sdl99	sd9900	sd	sdl
ESQ	S	20	ESQS20	203.81	731.47	403.81	1031.47	OUT	ESQ	S	S	0	0	0	0	0	0	0	0
ESQ	X	1	ESQX1	253.58	787.98	453.58	1087.98	OUT	ESQ	A	X	0	0	0	0	0	0	0	0
ESQ	X	2	ESQX2	247.83	786.92	447.83	1086.92	OUT	ESQ	A	X	0	0	0	0	0	0	0	0
ESQ	X	3	ESQX3	249.31	795.29	449.31	1095.29	OUT	ESQ	A	X	0	0	0	0	0	0	0	0
ESQ	X	4	ESQX4	259.61	813.13	459.61	1113.13	OUT	ESQ	A	X	0	0	0	0	0	0	0	0
ESQ	X	5	ESQX5	265.47	819.00	465.47	1119.00	OUT	ESQ	A	X	0	0	0	0	0	0	0	0
ESQ	X	6	ESQX6	264.93	824.55	464.93	1124.55	OUT	ESQ	A	X	0	0	0	0	0	0	0	0
ESQ	X	7	ESQX7	173.22	725.15	373.22	1025.15	OUT	ESQ	A	X	0	0	0	0	0	6	6	0
ESQ	X	8	ESQX8	167.54	725.65	367.54	1025.65	OUT	ESQ	A	X	0	0	0	0	0	1	1	0
ESQ	X	9	ESQX9	135.27	721.55	335.27	1021.55	OUT	ESQ	A	X	0	0	0	0	0	4	4	0
ESQ	X	10	ESQX10	208.53	742.84	408.53	1042.84	OUT	ESQ	A	X	0	0	0	0	0	1	1	0
ESQ	X	11	ESQX11	211.07	752.31	411.07	1052.31	OUT	ESQ	A	X	0	0	0	0	0	1	1	0
ESQ	X	12	ESQX12	253.52	814.76	453.52	1114.76	OUT	ESQ	A	X	0	0	0	0	0	0	0	0
IN	A	55	INA55	18.33	294.78	218.33	594.78	IN	NEW	A	A	0	0	0	0	0	0	0	0
IN	A	56	INA56	25.76	303.80	225.76	603.80	IN	NEW	A	A	0	14	1	8	1	72	94	2
IN	A	57	INA57	27.42	315.77	227.42	615.77	IN	NEW	A	A	0	0	0	0	0	0	0	0
IN	A	58	INA58	22.63	340.83	222.63	640.83	IN	NEW	A	A	0	0	0	0	0	0	0	0
IN	A	59	INA59	33.43	345.51	233.43	645.51	IN	NEW	A	A	0	0	0	0	0	1	1	0
IN	A	60	INA60	134.91	283.35	334.91	583.35	IN	NEW	A	A	1	7	1	0	0	46	53	2
IN	A	61	INA61	122.27	271.91	322.27	571.91	IN	NEW	A	A	1	8	0	5	0	22	35	1
IN	A	62	INA62	129.18	259.58	329.18	559.58	IN	NEW	A	A	0	10	0	5	0	53	68	0
IN	A	63	INA63	108.85	326.34	308.85	626.34	IN	NEW	A	A	0	3	0	0	0	0	3	0
IN	A	64	INA64	120.93	360.33	320.93	660.33	IN	NEW	A	A	0	0	0	0	0	0	0	0
IN	A	65	INA65	129.26	371.53	329.26	671.53	IN	NEW	A	A	0	0	0	0	0	0	0	0
IN	A	66	INA66	102.33	381.64	302.33	681.64	IN	NEW	A	A	0	0	0	0	0	0	0	0
IN	A	67	INA67	100.03	385.43	300.03	685.43	IN	NEW	A	A	0	0	0	0	0	0	0	0
IN	A	71	INA71	24.17	346.32	224.17	646.32	IN	NEW	A	A	0	0	0	0	0	1	1	0
IN	A	72	INA72	-4.14	288.12	195.86	588.12	IN	NEW	A	A	0	0	0	1	0	0	1	0
IN	A	73	INA73	56.88	212.38	256.88	512.38	IN	NEW	A	A	0	57	0	0	0	9	66	0
IN	A	74	INA74	65.82	202.81	265.82	502.81	IN	NEW	A	A	1	49	4	0	0	13	62	5
IN	A	75	INA75	74.83	389.47	274.83	689.47	IN	NEW	A	A	0	0	0	0	0	0	0	0
