1934 1    119  119  178  194  246  246  104  104  183  183  221  222  231  231  97   97   142  142  198  198  257  257
1935 1    119  127  186  194  244  246  102  106  153  167  228  228  231  235  93   97   136  142  198  200  257  269
1936 1    119  119  186  186  246  246  104  104  183  183  221  222  231  231  95   95   134  136  200  200  283  283
1937 1    119  119  178  178  246  246  104  106  169  187  221  226  231  235  93   95   118  134  198  198  271  283
1938 1    119  121  178  194  246  246  104  122  183  183  221  221  231  235  95   97   136  136  198  200  271  283
1939 1    119  119  178  194  246  246  104  104  183  183  221  221  231  231  95   97   142  142  198  198  257  271
1940 1    119  119  178  190  244  246  104  124  173  183  221  226  231  231  95   97   142  146  198  198  283  289
1941 1    119  119  178  178  246  246  104  104  183  183  221  221  231  231  97   97   142  142  198  198  257  283
871  1    117  119  178  194  244  244  104  104  183  183  222  222  231  231  93   97   142  148  198  198  295  295
873  1    119  119  178  178  246  246  102  104  167  167  221  222  235  235  93   93   142  142  198  198  283  287
1065 1    119  119  178  194  246  246  104  104  167  183  222  222  231  231  97   97   142  142  198  198  257  283
1066 1    119  119  178  194  246  246  104  104  183  183  221  222  231  231  97   97   142  142  198  198  257  283
1067 1    119  119  194  194  246  246  104  104  167  183  221  222  231  231  97   97   142  142  198  198  257  283
1069 1    117  119  178  178  244  244  104  104  183  185  221  221  231  231  97   97   132  146  198  200  261  261
1070 1    117  119  178  178  244  244  106  106  167  167  221  221  231  231  95   95   118  146  200  200  263  263
1072 1    119  119  178  178  244  244  104  142  183  183  221  226  231  231  95   97   142  146  198  198  257  283
1073 1    109  119  178  206  244  244  104  104  173  183  221  221  231  231  93   93   136  146  198  200  249  263
1074 1    117  119  178  178  244  244  142  142  183  183  221  221  231  231  97   97   132  146  200  200  257  257
1075 1    117  119  178  178  244  244  104  104  183  185  221  221  231  231  95   97   146  146  198  200  257  257
1076 1    119  119  178  178  244  244  104  142  183  185  221  221  231  231  95   95   132  136  200  200  257  261
1077 1    117  119  178  178  244  244  104  142  183  183  221  221  231  231  95   97   132  136  198  198  261  261
1078 1    117  119  178  178  244  244  104  142  167  185  221  221  231  231  95   95   132  132  200  200  257  261
1080 1    117  119  178  178  244  244  104  104  185  185  221  221  231  231  95   97   132  146  198  200  257  261
1081 1    117  119  178  178  244  244  104  142  183  185  221  221  231  231  95   97   132  146  198  200  257  261
1082 1    119  119  178  178  244  246  104  104  167  183  221  222  231  231  93   95   132  142  194  200  261  283
1083 1    117  117  178  178  244  244  104  142  183  183  221  221  231  231  95   97   146  146  198  200  257  261
1084 1    119  119  178  178  244  244  142  142  183  183  221  221  231  231  97   97   132  146  198  200  257  261
1085 1    119  119  176  178  244  244  104  104  167  167  221  221  231  231  93   93   146  146  198  200  257  261
1086 1    119  119  176  178  244  244  104  104  173  173  221  221  231  231  93   93   146  146  198  200  263  263
1087 1    119  119  176  206  244  244  104  110  173  183  221  221  231  231  93   93   146  146  200  200  249  261
1089 1    119  119  206  206  246  246  122  142  173  187  221  226  231  235  95   97   142  142  198  198  259  259
1090 1    119  119  178  178  244  246  104  104  167  183  221  221  231  231  95   97   136  142  198  200  261  283
1091 1    109  119  178  178  244  244  104  104  173  173  221  221  231  231  93   93   136  146  198  200  261  263
1092 1    119  119  178  206  246  246  110  122  173  173  221  222  231  231  93   95   118  142  198  200  251  295
1093 1    119  119  178  194  244  246  104  122  183  187  221  222  231  235  93   95   136  146  200  200  263  295
