SITE	MHAB	DENOM	OX	OY	SEEDS	SEEDL
IN	N	INN80	-147.92	143.93	.	.
IN	N	INN9	-84.66	168.52	.	.
IN	P	INP1	50.83	219.03	1	1
IN	P	INP10	2.03	317.98	0	1
IN	P	INP11	26.49	326.43	.	.
IN	P	INP12	12.73	342.83	.	.
IN	P	INP13	33.43	363.61	.	.
IN	P	INP14	62.9	350.11	1	0
IN	P	INP15	73.5	362.75	.	.
IN	P	INP16	60.18	393.71	.	.
IN	P	INP17	60.18	402.71	.	.
IN	P	INP18	66.23	419.25	.	.
IN	P	INP19	72.15	426.3	.	.
IN	P	INP2	51.14	228.53	2	0
IN	P	INP20	75.02	432.46	.	.
IN	P	INP21	119.22	409	.	.
IN	P	INP22	116.1	391.28	.	.
IN	P	INP23	121.52	382.7	.	.
IN	P	INP24	111.42	388.58	.	.
IN	P	INP25	80.86	407.51	1	0
IN	P	INP26	107.55	377.87	.	.
IN	P	INP27	103.32	366.14	1	0
IN	P	INP28	110.95	356.09	1	0
IN	P	INP29	117.51	347.58	.	.
IN	P	INP3	52.05	245.21	2	0
IN	P	INP30	106.7	346.41	.	.
IN	P	INP31	107.55	339.22	.	.
IN	P	INP32	101.53	337.85	.	.
IN	P	INP33	93.34	341.78	.	.
IN	P	INP34	90.49	331.16	.	.
IN	P	INP35	90.49	321.3	.	.
IN	P	INP36	84.28	307.97	3	0
IN	P	INP37	76.93	314.14	.	.
IN	P	INP38	75.68	305.67	0	1
IN	P	INP39	87.88	294.55	0	1
IN	P	INP4	45.68	268.97	.	.
IN	P	INP40	100.8	312.4	1	0
IN	P	INP41	-29.57	130.22	0	4
IN	P	INP42	-36.14	126.18	.	.
IN	P	INP43	-42.45	117.17	1	1
IN	P	INP44	-46.87	118.23	3	0
IN	P	INP45	-49.94	134.32	1	2
IN	P	INP46	-67.74	133.76	1	3
IN	P	INP47	-69.87	158.07	.	.
IN	P	INP48	-83.06	152.95	1	1
IN	P	INP49	-100.3	149.92	0	1
IN	P	INP5	34.9	269.7	.	.
IN	P	INP50	-92.72	172.28	.	.
IN	P	INP51	-105.54	120.17	1	2
IN	P	INP52	-122.03	102.41	.	.
IN	P	INP53	-135.47	107.3	5	2
IN	P	INP54	-136.43	103.67	.	.
IN	P	INP55	-139.81	97.65	1	0
IN	P	INP56	-142.69	139.73	.	.
IN	P	INP57	-124.2	150.39	.	.
IN	P	INP58	-128.08	168.44	.	.
IN	P	INP59	-142.22	160.97	2	0
IN	P	INP6	37.77	280.42	.	.
IN	P	INP60	-140.51	182.71	1	0
IN	P	INP61	-30.89	179.41	.	.
